YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2022,1,AK,Total Electric Power Industry,Total,584412
2022,1,AK,Total Electric Power Industry,Coal,75088
2022,1,AK,Total Electric Power Industry,Hydroelectric Conventional,198901
2022,1,AK,Total Electric Power Industry,Natural Gas,214245
2022,1,AK,Total Electric Power Industry,Other,-104
2022,1,AK,Total Electric Power Industry,Petroleum,79085
2022,1,AK,Total Electric Power Industry,Other Biomass,3657
2022,1,AK,Total Electric Power Industry,Wind,13540
2022,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2022,1,AK,"Combined Heat and Power, Industrial Power",Total,9962
2022,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,5986
2022,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,3961
2022,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,15
2022,1,AK,"Combined Heat and Power, Commercial Power",Total,31523
2022,1,AK,"Combined Heat and Power, Commercial Power",Coal,9454
2022,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,18836
2022,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,-6
2022,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,-404
2022,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,3642
2022,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2022,1,AK,"Combined Heat and Power, Electric Power",Total,13635
2022,1,AK,"Combined Heat and Power, Electric Power",Coal,13635
2022,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2022,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2022,1,AK,"Electric Generators, Independent Power Producers",Total,5452
2022,1,AK,"Electric Generators, Independent Power Producers",Petroleum,199
2022,1,AK,"Electric Generators, Independent Power Producers",Wind,5254
2022,1,AK,"Electric Generators, Electric Utilities",Total,523840
2022,1,AK,"Electric Generators, Electric Utilities",Coal,51999
2022,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,180065
2022,1,AK,"Electric Generators, Electric Utilities",Natural Gas,208264
2022,1,AK,"Electric Generators, Electric Utilities",Other,-104
2022,1,AK,"Electric Generators, Electric Utilities",Petroleum,75329
2022,1,AK,"Electric Generators, Electric Utilities",Wind,8286
2022,1,AL,Total Electric Power Industry,Total,12999575
2022,1,AL,Total Electric Power Industry,Coal,2401647
2022,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1206751
2022,1,AL,Total Electric Power Industry,Natural Gas,5342831
2022,1,AL,Total Electric Power Industry,Nuclear,3750315
2022,1,AL,Total Electric Power Industry,Other Gases,21
2022,1,AL,Total Electric Power Industry,Other,0
2022,1,AL,Total Electric Power Industry,Petroleum,2370
2022,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,51960
2022,1,AL,Total Electric Power Industry,Other Biomass,3083
2022,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,240597
